Forest,Agriculture,Urban,Grassland,Other,Area_Total,forest_sp,agriculture_sp,generalist_sp,Sp_Total
240340000,1373610000,10080000,193720000,682250000,2500000000,31,31,69,131
117380000,1164760000,8360000,219730000,989770000,2500000000,33,32,83,148
398500000,721480000,5170000,518640000,856210000,2500000000,25,29,72,126
363420000,1231180000,19020000,141690000,744690000,2500000000,31,28,75,134
286230000,1301070000,12350000,122270000,778080000,2500000000,30,27,77,134
443140000,1173540000,7760000,81640000,793920000,2500000000,21,20,66,107
932070000,543190000,27280000,174790000,822670000,2500000000,30,23,73,126
858840000,549600000,10720000,330700000,750140000,2500000000,17,21,54,92
606810000,682430000,2430000,213720000,994610000,2500000000,36,30,80,146
303540000,1296320000,4920000,258270000,636950000,2500000000,32,29,72,133
220280000,1427780000,5510000,536900000,309530000,2500000000,35,37,86,158
666910000,1084110000,1400000,84710000,662870000,2500000000,31,28,72,131
582370000,136120000,3930000,562130000,1215450000,2500000000,29,18,59,106
1120680000,441330000,16380000,241070000,680540000,2500000000,27,27,67,121
5310000,35110000,2610000,69960000,1727050000,1840040000,13,30,64,107
58030000,57560000,3030000,235730000,1982800000,2337150000,15,26,63,104
37110000,112050000,7280000,518800000,1824760000,2500000000,19,27,69,115
27670000,84540000,2040000,194440000,2191310000,2500000000,10,21,54,85
119890000,190870000,8900000,946780000,1233560000,2500000000,10,19,47,76
32620000,163980000,13840000,594360000,1695200000,2500000000,18,25,63,106
23120000,113910000,1970000,68970000,2285240000,2493210000,13,26,58,97
112360000,353130000,9530000,548640000,1476340000,2500000000,17,28,57,102
36010000,117270000,4400000,164190000,2113940000,2435810000,17,29,70,116
70190000,171530000,16580000,497740000,1743960000,2500000000,16,27,61,104
173250000,328050000,26870000,847960000,1123870000,2500000000,19,30,53,102
184890000,326790000,16720000,1151030000,820570000,2500000000,20,31,56,107
10730000,71200000,8280000,96140000,2151720000,2338070000,20,30,68,118
185500000,543890000,23630000,1571560000,175420000,2500000000,16,22,59,97
35240000,442590000,82760000,862160000,1077250000,2500000000,13,18,50,81
86140000,386000000,17830000,713850000,1275780000,2479600000,15,22,58,95
39890000,143120000,70100000,1981400000,265490000,2500000000,16,20,54,90
134840000,317640000,20500000,1632530000,394490000,2500000000,15,20,51,86
121150000,308250000,18760000,1766180000,285660000,2500000000,16,21,53,90
28230000,101980000,30650000,1788660000,550480000,2500000000,16,27,57,100
106350000,117800000,21480000,2062810000,191560000,2500000000,17,21,50,88
33710000,159810000,90490000,2009740000,206250000,2500000000,19,24,61,104
41040000,161160000,59130000,453950000,1734450000,2449730000,19,28,65,112
64280000,106160000,24680000,628460000,1676420000,2500000000,18,29,63,110
365890000,1479860000,10260000,96060000,547930000,2500000000,25,34,82,141
239430000,421440000,58090000,957900000,823140000,2500000000,18,28,66,112
70130000,664930000,31140000,893000000,840800000,2500000000,15,25,64,104
53260000,288930000,36700000,1678860000,442250000,2500000000,16,25,55,96
25630000,615480000,380160000,943780000,534950000,2500000000,18,24,67,109
131530000,2240000,540000,246510000,2119180000,2500000000,22,27,65,114
279420000,1510530000,24200000,316700000,369150000,2500000000,32,32,90,154
177720000,1765650000,6100000,275440000,275090000,2500000000,22,30,63,115
350550000,1022860000,5640000,481000000,639950000,2500000000,29,30,76,135
48390000,1637350000,19100000,575030000,220130000,2500000000,28,34,82,144
314940000,1306160000,11060000,181790000,686050000,2500000000,33,33,86,152
305690000,1269610000,10680000,44370000,869650000,2500000000,27,29,71,127
104330000,64350000,75100000,6800000,1823710000,2074290000,24,18,57,99
114180000,1325100000,101850000,71710000,887160000,2500000000,29,31,80,140
20010000,2390150000,19860000,20380000,49600000,2500000000,25,30,69,124
98340000,1959360000,22360000,141770000,278170000,2500000000,25,32,77,134
484810000,1199410000,11930000,25590000,778260000,2500000000,25,24,55,104
461670000,762440000,2350000,248340000,1025200000,2500000000,29,25,69,123
316930000,922020000,6240000,479020000,775790000,2500000000,27,34,75,136
182410000,1916400000,42340000,82270000,276580000,2500000000,27,29,81,137
225940000,778480000,24650000,14640000,1456290000,2500000000,31,30,70,131
136790000,750710000,8090000,3450000,1600960000,2500000000,27,27,71,125
243730000,1931720000,24280000,32910000,267360000,2500000000,22,22,61,105
177050000,1994850000,80140000,31270000,216690000,2500000000,28,29,67,124
244300000,1492620000,6280000,13100000,743700000,2500000000,31,26,71,128
486270000,918480000,7740000,4290000,1083220000,2500000000,26,29,67,122
115310000,1762410000,11470000,75820000,534990000,2500000000,24,34,66,124
16930000,2052630000,34230000,17090000,379120000,2500000000,23,32,68,123
58830000,457090000,35410000,0,1948670000,2500000000,27,31,78,136
498960000,1372050000,6470000,3080000,619440000,2500000000,31,26,67,124
580420000,709350000,3910000,2640000,1203680000,2500000000,23,26,57,106
333500000,1458870000,3310000,12960000,691360000,2500000000,22,25,56,103
310490000,1387510000,5520000,119670000,676810000,2500000000,18,33,65,116
729220000,196780000,23150000,484020000,1066830000,2500000000,32,22,66,120
73210000,1241440000,98990000,3340000,1083020000,2500000000,25,30,76,131
307800000,1374150000,23120000,0,794930000,2500000000,22,23,61,106
135390000,1658220000,155370000,41480000,509540000,2500000000,28,33,89,150
527380000,1449160000,5210000,12700000,505550000,2500000000,29,23,61,113
538780000,1018480000,19950000,0,922790000,2500000000,28,24,67,119
465950000,762500000,8840000,6790000,1255920000,2500000000,28,23,61,112
772010000,471320000,2940000,98510000,1155220000,2500000000,26,22,62,110
739550000,581680000,1110000,30220000,1147440000,2500000000,32,25,72,129
209990000,901850000,115750000,33840000,1238570000,2500000000,29,25,66,120
56430000,987090000,240870000,700000,1214910000,2500000000,28,32,87,147
46080000,1244970000,83640000,1150000,1124160000,2500000000,30,29,77,136
457390000,956260000,64640000,650000,1021060000,2500000000,35,30,81,146
378300000,508300000,4670000,656220000,952510000,2500000000,36,27,86,149
201010000,1774140000,45880000,411030000,67940000,2500000000,36,40,81,157
626350000,1255410000,39620000,132860000,445760000,2500000000,31,37,81,149
363600000,386730000,2460000,536460000,1210750000,2500000000,37,32,79,148
568290000,406610000,42240000,564000000,918860000,2500000000,37,31,81,149
143580000,2241420000,12120000,60380000,42500000,2500000000,27,31,77,135
147220000,1940430000,6010000,142490000,263850000,2500000000,31,32,76,139
770250000,1411350000,14550000,56760000,247090000,2500000000,30,28,64,122
383340000,1412210000,29560000,371230000,303660000,2500000000,34,33,79,146
46580000,2372500000,6310000,50410000,24200000,2500000000,22,31,70,123
103080000,2300680000,14140000,25000000,57100000,2500000000,26,31,75,132
119490000,2226540000,18080000,18330000,117560000,2500000000,29,33,78,140
256750000,1871490000,59540000,50550000,261670000,2500000000,29,29,79,137
1131830000,125560000,1570000,223300000,1017740000,2500000000,35,23,71,129
849210000,1068750000,5420000,143310000,433310000,2500000000,34,31,80,145
982080000,73350000,3720000,323650000,1117200000,2500000000,36,24,75,135
585080000,1475130000,6070000,122600000,311120000,2500000000,40,28,81,149
294280000,141930000,7420000,222250000,1573920000,2239800000,19,18,63,100
55750000,47410000,5760000,91550000,1479660000,1680130000,25,25,61,111
206050000,970110000,535360000,382790000,405690000,2500000000,34,31,85,150
410630000,1336870000,4780000,244120000,503600000,2500000000,30,26,72,128
507360000,279410000,83600000,801490000,828140000,2500000000,37,32,84,153
572850000,865400000,5750000,214080000,841920000,2500000000,32,28,71,131
345510000,1177800000,29480000,110930000,836280000,2500000000,35,31,79,145
126200000,2127250000,29480000,10780000,206290000,2500000000,30,31,75,136
215360000,2062410000,9710000,28430000,184090000,2500000000,31,32,71,134
1226790000,681080000,7620000,129950000,454560000,2500000000,35,29,82,146
824830000,1161830000,1660000,101000000,410680000,2500000000,35,28,85,148
713600000,232730000,25710000,510050000,1017910000,2500000000,25,27,80,132
484210000,1076310000,2770000,180650000,756060000,2500000000,28,29,84,141
925920000,477670000,19720000,432560000,644130000,2500000000,30,25,77,132
527230000,1293730000,3050000,28310000,647680000,2500000000,33,32,83,148
12350000,94040000,30170000,4490000,1856950000,1998000000,16,28,69,113
150350000,519740000,133190000,54420000,1637230000,2494930000,27,29,81,137
404410000,1610740000,12300000,34180000,438370000,2500000000,31,28,70,129
1179840000,563530000,540000,65900000,690190000,2500000000,32,26,72,130
405160000,1218250000,1940000,281740000,592910000,2500000000,27,30,66,123
690450000,1197540000,7400000,166730000,437880000,2500000000,27,31,71,129
1091690000,611850000,1460000,182660000,612340000,2500000000,24,27,62,113
1170060000,519070000,12370000,109750000,688750000,2500000000,37,30,83,150
1165950000,632560000,6740000,138080000,556670000,2500000000,38,28,77,143
383700000,1356340000,21380000,67730000,670850000,2500000000,39,36,91,166
373670000,1367310000,920000,106260000,651840000,2500000000,33,27,75,135
1174710000,66370000,88680000,489280000,680960000,2500000000,31,26,74,131
631160000,1491310000,44320000,20730000,312480000,2500000000,35,32,90,157
1275870000,27680000,61990000,577690000,556770000,2500000000,37,26,79,142
693310000,1299470000,16240000,135240000,355740000,2500000000,38,34,92,164
43680000,639190000,106510000,328830000,1381790000,2500000000,24,34,82,140
237000000,1144870000,150290000,240240000,727600000,2500000000,26,37,87,150
4690000,88740000,40670000,12080000,1969870000,2116050000,17,30,75,122
263480000,1636930000,105190000,391910000,102490000,2500000000,27,31,83,141
40760000,926270000,195100000,536320000,801550000,2500000000,19,38,85,142
487610000,954170000,8890000,158290000,891040000,2500000000,25,21,63,109
179570000,1788640000,7480000,3270000,521040000,2500000000,26,33,72,131
131700000,1965880000,24820000,1710000,375890000,2500000000,31,37,87,155
196100000,1695170000,17150000,42350000,549230000,2500000000,33,34,78,145
499460000,1443880000,5860000,2480000,548320000,2500000000,35,33,82,150
1164500000,229800000,12190000,713960000,379550000,2500000000,42,29,84,155
625470000,1248390000,48850000,15770000,561520000,2500000000,40,32,88,160
1044700000,457090000,24360000,808400000,165450000,2500000000,40,24,82,146
1237830000,364860000,2440000,153880000,740990000,2500000000,39,25,79,143
650180000,53060000,37850000,650000,1449160000,2190900000,22,18,63,103
595070000,510110000,177160000,212230000,972170000,2466740000,27,23,81,131
1710380000,455660000,58930000,10740000,264290000,2500000000,23,16,64,103
595790000,1609260000,89470000,177260000,28220000,2500000000,29,21,78,128
268400000,2860000,36110000,850000,1436480000,1744700000,21,20,67,108
271530000,12310000,58320000,30000,1545270000,1887460000,21,19,66,106
711380000,499790000,355840000,136650000,796340000,2500000000,27,30,81,138
95670000,131240000,60190000,42800000,1845780000,2175680000,25,31,81,137
67030000,11850000,16070000,4190000,1488310000,1587450000,19,20,66,105
293760000,1712970000,99840000,290600000,102830000,2500000000,24,35,85,144
334950000,1135200000,45670000,245910000,738270000,2500000000,25,23,79,127
102240000,1881020000,110690000,393150000,12900000,2500000000,26,36,78,140
40580000,625090000,130990000,231520000,1471820000,2500000000,26,40,91,157
144570000,1729910000,79800000,536400000,9320000,2500000000,27,27,76,130
122150000,1965140000,124950000,272650000,15110000,2500000000,23,31,81,135
172030000,1724640000,70970000,508740000,23620000,2500000000,27,28,82,137
86690000,1586510000,283360000,478830000,64610000,2500000000,28,35,85,148
135830000,1352160000,155620000,816120000,40270000,2500000000,28,30,82,140
129650000,1703280000,103900000,547670000,15500000,2500000000,28,26,75,129
810760000,523760000,540000,174230000,990710000,2500000000,31,24,70,125
105690000,2070470000,12160000,0,311680000,2500000000,21,32,71,124
476550000,1254270000,7030000,31230000,730920000,2500000000,38,38,102,178
181910000,1949230000,6800000,4990000,357070000,2500000000,26,35,81,142
832090000,589140000,90280000,717830000,270660000,2500000000,40,26,81,147
873500000,159330000,8640000,486100000,972430000,2500000000,43,27,82,152
449870000,1535440000,152210000,245050000,117430000,2500000000,24,17,68,109
1371640000,761720000,42530000,113280000,210830000,2500000000,22,16,68,106
261140000,2068690000,107120000,50980000,12070000,2500000000,27,25,81,133
536380000,1595500000,32230000,108820000,227070000,2500000000,27,20,72,119
274950000,1777050000,99700000,330120000,18180000,2500000000,27,27,69,123
586180000,1239560000,84900000,565260000,24100000,2500000000,31,29,83,143
524930000,1607940000,118530000,193780000,54820000,2500000000,31,32,83,146
29850000,260420000,40150000,344060000,1825520000,2500000000,17,25,64,106
158680000,443870000,59330000,681430000,1156690000,2500000000,24,28,72,124
48050000,147670000,14610000,645280000,1384920000,2240530000,20,26,65,111
5370000,75550000,5560000,232230000,1466730000,1785440000,19,24,57,100
1890000,78430000,29480000,404970000,1829880000,2344650000,22,33,73,128
41330000,115520000,187470000,580300000,1575380000,2500000000,13,28,56,97
22110000,225070000,46300000,887620000,1318570000,2499670000,15,22,58,95
323120000,29270000,0,377660000,1769950000,2500000000,16,30,55,101
199420000,68520000,90520000,654370000,1487170000,2500000000,18,32,65,115
248470000,44640000,11300000,490690000,1704900000,2500000000,24,31,82,137
29600000,653710000,142240000,47080000,1627370000,2500000000,19,30,75,124
20640000,319350000,37250000,18520000,2101890000,2497650000,17,33,76,126
89290000,317310000,91340000,638070000,1362970000,2498980000,28,29,75,132
59970000,94990000,35130000,711920000,1597990000,2500000000,18,20,55,93
238490000,391710000,22600000,1741120000,106080000,2500000000,23,25,67,115
127850000,348440000,85320000,709940000,1228450000,2500000000,22,27,68,117
163000000,622920000,141700000,1130780000,441600000,2500000000,25,30,69,124
234730000,43550000,5360000,1889090000,327270000,2500000000,27,32,71,130
98800000,148360000,175920000,1061110000,1015810000,2500000000,28,28,69,125
181070000,142980000,14040000,2002560000,159350000,2500000000,27,26,63,116
345770000,249810000,369530000,1276590000,258300000,2500000000,28,30,64,122
40370000,86040000,38270000,747160000,1588160000,2500000000,30,32,78,140
251040000,21230000,13290000,789110000,1424300000,2498970000,29,30,66,125
255310000,200550000,69410000,1646610000,328120000,2500000000,28,29,59,116
279510000,238040000,14620000,1819050000,148780000,2500000000,27,28,64,119
31280000,92960000,182330000,249020000,1701910000,2257500000,17,34,63,114
239010000,48330000,10530000,997360000,1204770000,2500000000,26,38,78,142
99170000,85770000,49970000,1322900000,942190000,2500000000,24,33,67,124
127920000,41760000,26050000,918360000,1385910000,2500000000,31,40,88,159
224000000,185240000,471150000,1442480000,177130000,2500000000,20,29,59,108
575620000,31050000,16030000,1516030000,361270000,2500000000,18,27,54,99
250110000,354660000,192540000,1087490000,615200000,2500000000,22,33,80,135
572300000,84040000,22610000,1351050000,470000000,2500000000,27,27,70,124
248590000,1450540000,120930000,151310000,528630000,2500000000,24,27,76,127
179460000,1777030000,144010000,198540000,200960000,2500000000,21,22,70,113
275310000,1923330000,76220000,135210000,89930000,2500000000,24,23,72,119
414640000,1735990000,63880000,207910000,77580000,2500000000,21,17,62,100
20580000,251810000,51520000,7000000,1675380000,2006290000,19,17,71,107
50220000,886460000,80770000,850020000,632530000,2500000000,26,31,82,139
133680000,1431710000,119230000,806980000,8400000,2500000000,22,28,68,118
546400000,796600000,698260000,391320000,67420000,2500000000,22,24,67,113
274340000,803340000,203130000,335250000,883940000,2500000000,29,32,77,138
144350000,1518890000,59760000,767790000,9210000,2500000000,21,26,65,112
242580000,596450000,252420000,1107020000,301530000,2500000000,28,29,67,124
67990000,1693800000,210400000,524350000,3460000,2500000000,19,27,64,110
91710000,1563310000,202920000,622480000,19580000,2500000000,22,27,64,113
82590000,746650000,187680000,1471890000,11190000,2500000000,21,32,63,116
165690000,1306140000,140790000,849750000,37630000,2500000000,24,29,68,121
111030000,300620000,256620000,1769360000,62370000,2500000000,29,30,72,131
84830000,1081890000,890310000,395720000,47250000,2500000000,23,28,69,120
19100000,116490000,177280000,715670000,1471460000,2500000000,29,34,67,130
99950000,173440000,409350000,1480920000,336340000,2500000000,24,32,63,119
161150000,180450000,575370000,1156930000,426100000,2500000000,26,29,67,122
126330000,117510000,49240000,1838770000,368150000,2500000000,27,32,62,121
128390000,11990000,30470000,1932710000,396440000,2500000000,26,33,64,123
68440000,907180000,451600000,249620000,823160000,2500000000,26,30,74,130
70810000,1202010000,33710000,537480000,655990000,2500000000,21,32,75,128
617570000,208680000,9720000,1192510000,471520000,2500000000,28,29,64,121
32470000,520130000,88590000,220290000,1372390000,2233870000,26,31,77,134
152250000,1353300000,119530000,135550000,739370000,2500000000,24,26,79,129
220320000,1882950000,88920000,262570000,45240000,2500000000,24,18,64,106
137100000,1356850000,129310000,218790000,657950000,2500000000,28,23,84,135
300490000,1704090000,149940000,287820000,57660000,2500000000,26,18,68,112
18270000,218650000,42740000,222750000,1997590000,2500000000,26,31,85,142
211880000,560130000,315360000,297110000,1115520000,2500000000,29,33,76,138
100990000,445880000,181170000,209930000,1369160000,2307130000,21,25,69,115
41860000,1828100000,224000000,395590000,10450000,2500000000,23,24,63,110
178840000,1710420000,207400000,378200000,25140000,2500000000,23,25,60,108
214450000,899940000,1087200000,252580000,45830000,2500000000,25,28,69,122
109590000,1481330000,446270000,414070000,48740000,2500000000,22,31,70,123
36860000,1559950000,361430000,514200000,27560000,2500000000,20,25,67,112
48890000,2257940000,114690000,63880000,14600000,2500000000,18,25,62,105
74690000,2035210000,214740000,123700000,51660000,2500000000,20,28,70,118
52700000,2089500000,177100000,145860000,34840000,2500000000,26,27,63,116
118870000,1742210000,431660000,114210000,93050000,2500000000,23,31,78,132
74940000,2000780000,173890000,157780000,92610000,2500000000,15,24,58,97
222060000,982270000,46070000,382550000,867050000,2500000000,23,33,73,129
104700000,1307400000,71110000,831160000,185630000,2500000000,33,37,81,151
160620000,1698020000,124810000,493570000,22980000,2500000000,30,25,74,129
158520000,968580000,53480000,1299720000,19700000,2500000000,31,24,73,128
137920000,1237830000,80800000,1032900000,10550000,2500000000,30,25,77,132
41770000,298870000,39660000,378870000,1708870000,2468040000,24,39,81,144
71800000,784060000,92630000,1330750000,220760000,2500000000,25,33,77,135
18020000,478440000,108590000,206610000,1469380000,2281040000,25,35,85,145
189150000,1187060000,120420000,985850000,17520000,2500000000,30,26,72,128
353710000,1031730000,59660000,1029490000,25410000,2500000000,34,22,76,132
334790000,1120310000,126690000,901050000,17160000,2500000000,29,22,74,125
284210000,15030000,2390000,421780000,1776590000,2500000000,23,28,66,117
317960000,16760000,1550000,430400000,1733330000,2500000000,22,32,72,126
243870000,5100000,3240000,635950000,1611840000,2500000000,26,31,62,119
92800000,1880000,2730000,188740000,2213850000,2500000000,17,26,53,96
121610000,10600000,340000,141400000,2226050000,2500000000,23,29,61,113
357390000,18840000,5320000,293290000,1825160000,2500000000,28,28,63,119
13100000,1550000,0,174490000,2266910000,2456050000,17,26,58,101
86400000,1910000,1010000,191280000,2219400000,2500000000,16,27,59,102
263370000,42880000,3870000,499720000,1690160000,2500000000,27,33,66,126
366320000,337580000,108740000,1000480000,686880000,2500000000,26,32,67,125
305960000,765190000,71380000,648770000,708700000,2500000000,24,33,66,123
493280000,381280000,49220000,381820000,1194400000,2500000000,25,35,81,141
163570000,14880000,3870000,167620000,2150060000,2500000000,27,35,70,132
557430000,297160000,41190000,470110000,1134110000,2500000000,23,31,72,126
209010000,49380000,8820000,510560000,1722230000,2500000000,24,31,59,114
156150000,1840000,330000,234440000,2107240000,2500000000,19,31,73,123
363840000,75840000,9470000,296960000,1753890000,2500000000,22,29,62,113
163200000,79670000,15090000,591120000,1650920000,2500000000,13,34,67,114
8440000,8000000,1750000,27720000,2249530000,2295440000,13,29,67,109
0,3460000,3280000,280010000,2135870000,2422620000,11,31,64,106
498310000,1391960000,30540000,1000000,578190000,2500000000,31,26,75,132
87260000,927460000,20910000,50000,1460580000,2496260000,29,28,84,141
432410000,1518100000,8800000,0,540690000,2500000000,29,35,78,142
721560000,1181000000,20360000,25080000,552000000,2500000000,33,28,76,137
787760000,788790000,4960000,37320000,881170000,2500000000,33,31,83,147
119500000,2124240000,23200000,2600000,230460000,2500000000,31,39,82,152
857570000,825600000,87890000,534480000,194460000,2500000000,37,21,74,132
799770000,56840000,8350000,613370000,1021670000,2500000000,41,24,76,141
588660000,1743570000,24290000,81570000,61910000,2500000000,23,16,65,104
335090000,1866830000,30370000,251480000,16230000,2500000000,18,14,62,94
753320000,1445200000,66620000,200120000,34740000,2500000000,28,16,69,113
494210000,1771290000,58040000,124230000,52230000,2500000000,22,15,63,100
524660000,1577950000,138830000,236000000,22560000,2500000000,31,28,81,140
789680000,1507410000,26190000,143850000,32870000,2500000000,24,19,71,114
571150000,1465850000,56320000,270000,406410000,2500000000,32,30,75,137
1230000,270240000,14070000,250000,1759410000,2045200000,27,37,92,156
377830000,1082940000,169820000,1420000,867990000,2500000000,29,24,70,123
851910000,435350000,3860000,174800000,1034080000,2500000000,42,26,84,152
192080000,1950050000,39550000,900000,317420000,2500000000,30,37,76,143
1308340000,266900000,6190000,219830000,698740000,2500000000,41,22,78,141
952400000,976260000,58500000,473770000,39070000,2500000000,41,22,77,140
827670000,38910000,6120000,791620000,835680000,2500000000,40,24,77,141
726960000,1221090000,44140000,440340000,67470000,2500000000,36,22,82,140
851500000,75740000,9110000,567710000,995940000,2500000000,40,19,76,135
154910000,2159130000,67520000,82230000,36210000,2500000000,26,18,75,119
166470000,2096320000,28060000,179410000,29740000,2500000000,22,13,70,105
422080000,1818480000,72220000,127540000,59680000,2500000000,32,20,80,132
156220000,1899420000,361990000,33680000,48690000,2500000000,24,18,74,116
1129760000,995940000,33960000,295910000,44430000,2500000000,30,19,70,119
478240000,1709850000,52730000,234030000,25150000,2500000000,23,15,66,104
1102720000,807920000,45860000,447400000,96100000,2500000000,33,23,77,133
1042150000,875510000,30360000,341770000,210210000,2500000000,33,16,70,119
697500000,834140000,53090000,869150000,46120000,2500000000,32,24,80,136
1129970000,1054290000,62590000,215240000,37910000,2500000000,27,18,68,113
769590000,624260000,124710000,913080000,68360000,2500000000,32,22,75,129
661150000,1034520000,67080000,716650000,20600000,2500000000,33,16,76,125
561200000,1688760000,75730000,140090000,34220000,2500000000,32,26,80,138
266730000,1233270000,32230000,931880000,35890000,2500000000,28,24,76,128
540120000,1150530000,43390000,657580000,108380000,2500000000,35,34,90,159
351710000,942120000,33960000,1144450000,27760000,2500000000,33,23,78,134
521550000,1484550000,128110000,330400000,35390000,2500000000,32,28,82,142
491790000,1602110000,137880000,218940000,49280000,2500000000,30,24,79,133
634110000,1666350000,106950000,45720000,46870000,2500000000,31,30,84,145
542570000,1675510000,46430000,216110000,19380000,2500000000,30,28,85,143
276920000,254530000,388250000,16300000,1536860000,2472860000,28,31,82,141
1251520000,417660000,20160000,307490000,503170000,2500000000,40,27,85,152
983580000,418360000,23910000,690520000,383630000,2500000000,43,29,85,157
1117860000,806570000,203730000,15730000,356110000,2500000000,34,24,75,133
1451260000,699010000,36030000,49150000,264550000,2500000000,41,29,87,157
1131530000,448860000,159160000,2860000,757590000,2500000000,33,24,83,140
685130000,1407390000,56800000,207620000,143060000,2500000000,40,17,78,135
1271600000,164910000,23110000,527460000,512920000,2500000000,40,24,77,141
499850000,1188240000,57170000,67540000,687200000,2500000000,29,32,90,151
675100000,949320000,119690000,102200000,653690000,2500000000,43,36,98,177
556010000,1516970000,67180000,314300000,45540000,2500000000,31,19,79,129
547050000,1647520000,67490000,216390000,21550000,2500000000,35,17,78,130
723070000,1268450000,18240000,410640000,79600000,2500000000,33,21,76,130
1471600000,361560000,13500000,420630000,232710000,2500000000,37,19,78,134
1011580000,532610000,33650000,866260000,55900000,2500000000,30,15,71,116
698740000,1029040000,40100000,641770000,90350000,2500000000,31,20,73,124
639620000,466590000,39420000,1269310000,85060000,2500000000,34,20,74,128
710520000,748850000,46150000,939470000,55010000,2500000000,29,21,75,125
1194440000,300530000,20890000,765100000,219040000,2500000000,34,22,78,134
1394060000,236240000,50750000,692640000,126310000,2500000000,34,17,75,126
791000000,502050000,28340000,1106700000,71910000,2500000000,34,18,76,128
661960000,214510000,25610000,1515870000,82050000,2500000000,33,20,71,124
322190000,1320190000,65460000,752790000,39370000,2500000000,29,25,85,139
461530000,856040000,39070000,1131090000,12270000,2500000000,35,29,83,147
466830000,915310000,43370000,1039710000,34780000,2500000000,30,26,84,140
347390000,690000000,76580000,1362340000,23690000,2500000000,34,29,84,147
1414640000,834220000,70200000,124300000,56640000,2500000000,32,30,91,153
750100000,1489740000,86050000,139320000,34790000,2500000000,30,28,76,134
704190000,1274380000,67600000,409770000,44060000,2500000000,32,26,92,150
427590000,1546770000,88970000,395500000,41170000,2500000000,30,24,76,130
24940000,420900000,42390000,420000,1873730000,2362380000,32,33,91,156
18690000,479480000,91860000,10330000,1621100000,2221460000,21,36,89,146
705660000,1168600000,89950000,104010000,431780000,2500000000,35,34,91,160
1151010000,648730000,86960000,126070000,487230000,2500000000,37,27,87,151
142980000,724790000,226220000,57250000,1348760000,2500000000,27,40,95,162
