"Class","Order","Family","Species","Habitats_IUCN"
"Mammalia","Carnivora","Canidae","Canis lupus","Forest - Boreal [Suitable]; Forest - Temperate [Suitable]; Desert - Temperate [Marginal]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Subarctic [Suitable]; Desert - Cold [Marginal]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Rural Gardens [Marginal]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Marginal]; Shrubland - Boreal [Suitable]; Shrubland - Temperate [Suitable]; Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt) [Marginal]; Grassland - Temperate [Suitable]; Shrubland - Subarctic [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Grassland - Subarctic [Suitable]; Grassland - Tundra [Suitable]"
"Mammalia","Carnivora","Canidae","Vulpes corsac","Desert - Temperate [Suitable]; Grassland - Temperate [Suitable]; Shrubland - Temperate [Suitable]"
"Mammalia","Carnivora","Canidae","Vulpes lagopus","Grassland - Tundra [Suitable]; Grassland - Subarctic [Suitable]"
"Mammalia","Carnivora","Canidae","Vulpes vulpes","Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Temperate [Suitable]; Forest - Temperate [Suitable]; Shrubland - Boreal [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Boreal [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Temperate [Suitable]"
"Mammalia","Carnivora","Felidae","Felis silvestris","Artificial/Terrestrial - Pastureland [Marginal]; Rocky areas (eg. inland cliffs, mountain peaks) [Marginal]; Forest - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Marginal]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Unknown]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Marginal]; Forest - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Arable Land [Marginal]; Wetlands (inland) - Shrub Dominated Wetlands [Suitable]"
"Mammalia","Carnivora","Felidae","Lynx lynx","Shrubland - Temperate [Suitable]; Forest - Boreal [Suitable]; Grassland - Temperate [Suitable]; Shrubland - Boreal [Suitable]; Forest - Temperate [Suitable]"
"Mammalia","Carnivora","Felidae","Lynx pardinus","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Other [Suitable]; Forest - Temperate [Suitable]"
"Mammalia","Carnivora","Herpestidae","Herpestes ichneumon","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]"
"Mammalia","Carnivora","Mustelidae","Gulo gulo","Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Grassland - Tundra [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Boreal [Suitable]; Forest - Subarctic [Suitable]; Shrubland - Boreal [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Grassland - Subarctic [Suitable]; Shrubland - Subarctic [Suitable]"
"Mammalia","Carnivora","Mustelidae","Lutra lutra","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Shrub Dominated Wetlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats [Suitable]; Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Marine Intertidal - Tidepools [Suitable]; Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt) [Suitable]; Marine Neritic - Pelagic [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Freshwater Springs and Oases [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]"
"Mammalia","Carnivora","Mustelidae","Martes foina","Forest - Temperate [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]"
"Mammalia","Carnivora","Mustelidae","Martes martes","Shrubland - Temperate [Suitable]; Shrubland - Boreal [Suitable]; Forest - Temperate [Suitable]; Forest - Boreal [Suitable]"
"Mammalia","Carnivora","Mustelidae","Martes zibellina","Forest - Temperate [Suitable]"
"Mammalia","Carnivora","Mustelidae","Meles meles","Shrubland - Boreal [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Forest - Boreal [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Temperate [Suitable]"
"Mammalia","Carnivora","Mustelidae","Mustela erminea","Shrubland - Subarctic [Suitable]; Grassland - Tundra [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Forest - Boreal [Suitable]; Forest - Subarctic [Suitable]; Shrubland - Boreal [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Subarctic [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Terrestrial - Plantations [Suitable]"
"Mammalia","Carnivora","Mustelidae","Mustela eversmanii","Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Desert - Temperate [Suitable]"
"Mammalia","Carnivora","Mustelidae","Mustela lutreola","Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Marginal]; Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks [Marginal]; Wetlands (inland) - Shrub Dominated Wetlands [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Marginal]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Artificial/Aquatic - Irrigated Land (includes irrigation channels) [Marginal]; Wetlands (inland) - Freshwater Springs and Oases [Marginal]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Marginal]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Marginal]; Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats [Marginal]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Marginal]; Artificial/Aquatic - Canals and Drainage Channels, Ditches [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Marginal]; Artificial/Aquatic - Aquaculture Ponds [Marginal]; Artificial/Aquatic - Seasonally Flooded Agricultural Land [Marginal]; Forest - Subarctic [Suitable]; Forest - Boreal [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Shrubland - Boreal [Marginal]; Shrubland - Temperate [Marginal]; Forest - Temperate [Suitable]; Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools [Marginal]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]"
"Mammalia","Carnivora","Mustelidae","Mustela nivalis","Marine Coastal/Supratidal - Coastal Sand Dunes [Suitable]; Forest - Boreal [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Subarctic [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Grassland - Subarctic [Suitable]; Forest - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Boreal [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Temperate [Suitable]"
"Mammalia","Carnivora","Mustelidae","Mustela putorius","Forest - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Marine Coastal/Supratidal - Coastal Sand Dunes [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]"
"Mammalia","Carnivora","Mustelidae","Vormela peregusna","Grassland - Temperate [Suitable]; Desert - Temperate [Suitable]"
"Mammalia","Carnivora","Ursidae","Ursus arctos","Artificial/Marine - Mari/Brackishculture Ponds [Marginal]; Artificial/Marine - Marine Anthropogenic Structures [Marginal]; Artificial/Marine - Mariculture Cages [Marginal]; Artificial/Aquatic - Canals and Drainage Channels, Ditches [Marginal]; Artificial/Aquatic - Karst and Other Subterranean Hydrological Systems (human-made) [Marginal]; Grassland - Tundra [Suitable]; Introduced vegetation [Marginal]; Rocky areas (eg. inland cliffs, mountain peaks) [Marginal]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Marginal]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Shrubland - Boreal [Marginal]; Forest - Boreal [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Marginal]; Forest - Subarctic [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Aquatic - Seasonally Flooded Agricultural Land [Marginal]; Caves and Subterranean Habitats (non-aquatic) - Caves [Marginal]; Artificial/Terrestrial - Pastureland [Marginal]; Artificial/Terrestrial - Arable Land [Marginal]; Artificial/Terrestrial - Plantations [Suitable]; Grassland - Temperate [Marginal]; Shrubland - Subarctic [Marginal]; Forest - Temperate [Suitable]; Shrubland - Temperate [Suitable]"
"Mammalia","Carnivora","Ursidae","Ursus maritimus","Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Oceanic [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Grassland - Tundra [Marginal]"
"Mammalia","Carnivora","Viverridae","Genetta genetta","Shrubland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]"
"Mammalia","Chiroptera","Miniopteridae","Miniopterus schreibersii","Shrubland - Subtropical/Tropical Dry [Suitable]; Forest - Subtropical/Tropical Moist Montane [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Forest - Temperate [Suitable]; Forest - Subtropical/Tropical Moist Lowland [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]"
"Mammalia","Chiroptera","Molossidae","Tadarida teniotis","Artificial/Terrestrial - Urban Areas [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]"
"Mammalia","Chiroptera","Rhinolophidae","Rhinolophus blasii","Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]"
"Mammalia","Chiroptera","Rhinolophidae","Rhinolophus euryale","Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]"
"Mammalia","Chiroptera","Rhinolophidae","Rhinolophus ferrumequinum","Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]; Grassland - Temperate [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]"
"Mammalia","Chiroptera","Rhinolophidae","Rhinolophus hipposideros","Artificial/Terrestrial - Urban Areas [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Grassland - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]"
"Mammalia","Chiroptera","Rhinolophidae","Rhinolophus mehelyi","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Forest - Temperate [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]"
"Mammalia","Chiroptera","Vespertilionidae","Barbastella barbastellus","Shrubland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Forest - Temperate [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]"
"Mammalia","Chiroptera","Vespertilionidae","Eptesicus nilssonii","Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Forest - Subarctic [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Forest - Boreal [Suitable]"
"Mammalia","Chiroptera","Vespertilionidae","Eptesicus serotinus","Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Marginal]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Aquatic - Irrigated Land (includes irrigation channels) [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks [Suitable]; Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]"
"Mammalia","Chiroptera","Vespertilionidae","Hypsugo savii","Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]"
"Mammalia","Chiroptera","Vespertilionidae","Myotis alcathoe","Forest - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]"
"Mammalia","Chiroptera","Vespertilionidae","Myotis bechsteinii","Forest - Temperate [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]"
"Mammalia","Chiroptera","Vespertilionidae","Myotis blythii","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Temperate [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]"
"Mammalia","Chiroptera","Vespertilionidae","Myotis brandtii","Shrubland - Subantarctic [Suitable]; Grassland - Temperate [Marginal]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Shrubland - Boreal [Suitable]; Shrubland - Temperate [Suitable]; Forest - Boreal [Suitable]; Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt) [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks [Suitable]; Wetlands (inland) - Shrub Dominated Wetlands [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]"
"Mammalia","Chiroptera","Vespertilionidae","Myotis capaccinii","Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]"
"Mammalia","Chiroptera","Vespertilionidae","Myotis dasycneme","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Forest - Boreal [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Forest - Temperate [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]"
"Mammalia","Chiroptera","Vespertilionidae","Myotis daubentonii","Forest - Boreal [Suitable]; Artificial/Terrestrial - Urban Areas [Marginal]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]"
"Mammalia","Chiroptera","Vespertilionidae","Myotis davidii","Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Desert - Temperate [Suitable]"
