"species","year","abundance"
"Mustela putorius Linnaeus, 1758",2025,1
"Mustelidae",2025,1
"Myocastor coypus (Molina, 1782)",2025,27
"Myotis bechsteinii (Kuhl, 1817)",2025,2
"Myotis daubentonii (Kuhl, 1817)",2025,1
"Myotis myotis (Borkhausen, 1797)",2025,2
"Myotis nattereri (Kuhl, 1817)",2025,1
"Neogale Gray, 1865",2025,6
"Notamacropus rufogriseus (Desmarest, 1817)",2025,1
"Nyctalus noctula (Schreber, 1774)",2025,1
"Nyctereutes procyonoides (Gray, 1834)",2025,1
"Ondatra zibethicus (Linnaeus, 1766)",2025,7
"Oryctolagus cuniculus (Linnaeus, 1758)",2025,17
"Ovis aries musimon (Pallas, 1811)",2025,2
"Panurus biarmicus (Linnaeus, 1758)",2025,2
"Parus caeruleus Linnaeus, 1758",2025,2
"Parus cristatus Linnaeus, 1758",2025,1
"Parus major Linnaeus, 1758",2025,89
"Passer domesticus (Linnaeus, 1758)",2025,14
"Passer montanus (Linnaeus, 1758)",2025,32
"Pelecanus crispus Bruch, 1832",2025,1
"Perdix perdix (Linnaeus, 1758)",2025,1
"Periparus ater (Linnaeus, 1758)",2025,9
"Phalacrocorax carbo (Linnaeus, 1758)",2025,8
"Phasianus colchicus Linnaeus, 1758",2025,7
"Phoca vitulina Linnaeus, 1758",2025,7
"Phocoena phocoena (Linnaeus, 1758)",2025,3
"Pica pica (Linnaeus, 1758)",2025,31
"Picus canus J.F.Gmelin, 1788",2025,1
"Picus viridis Linnaeus, 1758",2025,1
"Pipistrellus nathusii (Keyserling & Blasius, 1839)",2025,1
"Pipistrellus pygmaeus (Leach, 1825)",2025,2
"Plecotus auritus (Linnaeus, 1758)",2025,2
"Plecotus austriacus (J.Fischer, 1829)",2025,1
"Plectrophenax nivalis (Linnaeus, 1758)",2025,1
"Podiceps cristatus (Linnaeus, 1758)",2025,3
"Podiceps grisegena (Boddaert, 1783)",2025,1
"Podiceps nigricollis C.L.Brehm, 1831",2025,2
"Poecile montanus (Conrad von Baldenstein, 1827)",2025,24
"Poecile palustris (Linnaeus, 1758)",2025,6
"Porphyrio poliocephalus (Latham, 1801)",2025,1
"Procyon lotor (Linnaeus, 1758)",2025,3
"Pusa caspica (Gmelin, 1788)",2025,1
"Pyrrhula pyrrhula (Linnaeus, 1758)",2025,34
"Rallus aquaticus Linnaeus, 1758",2025,2
"Rangifer tarandus (Linnaeus, 1758)",2025,3
"Rattus norvegicus (Berkenhout, 1769)",2025,14
"Rattus rattus (Linnaeus, 1758)",2025,3
"Regulus regulus (Linnaeus, 1758)",2025,19
"Remiz pendulinus (Linnaeus, 1758)",2025,1
"Rhinolophus ferrumequinum (Schreber, 1774)",2025,1
"Rhinolophus hipposideros (Bechstein, 1800)",2025,3
"Rupicapra pyrenaica ornata Neumann, 1899",2025,2
"Rupicapra rupicapra (Linnaeus, 1758)",2025,20
"Rupicapra rupicapra rupicapra",2025,3
"Schoeniclus schoeniclus (Linnaeus, 1758)",2025,1
"Sciurus carolinensis Gmelin, 1788",2025,26
"Sciurus vulgaris Linnaeus, 1758",2025,123
"Sciurus vulgaris exalbidus Pallas, 1778",2025,1
"Sitta europaea Linnaeus, 1758",2025,16
"Somateria mollissima (Linnaeus, 1758)",2025,5
"Sorex minutus Linnaeus, 1766",2025,3
"Spalax zemni (Erxleben, 1777)",2025,1
"Spinus spinus (Linnaeus, 1758)",2025,7
"Streptopelia decaocto (Frivaldszky, 1838)",2025,3
"Strix aluco Linnaeus, 1758",2025,1
"Sturnus vulgaris Linnaeus, 1758",2025,3
"Sus scrofa Linnaeus, 1758",2025,17
"Tachybaptus ruficollis (Pallas, 1764)",2025,4
"Tadorna ferruginea (Pallas, 1764)",2025,6
"Tadorna tadorna (Linnaeus, 1758)",2025,1
"Talpa aquitania Nicolas, Martinez-Vargas & Hugot, 2017",2025,1
"Talpa europaea Linnaeus, 1758",2025,45
"Talpa occidentalis Cabrera, 1907",2025,3
"Tetrao urogallus Linnaeus, 1758",2025,1
"Tetrastes bonasia (Linnaeus, 1758)",2025,1
"Tringa totanus (Linnaeus, 1758)",2025,1
"Troglodytes troglodytes (Linnaeus, 1758)",2025,5
"Turdus iliacus Linnaeus, 1758",2025,2
"Turdus merula Linnaeus, 1758",2025,13
"Turdus pilaris Linnaeus, 1758",2025,21
"Tursiops truncatus (Montagu, 1821)",2025,1
"Tyto alba (Scopoli, 1769)",2025,1
"Uria aalge (Pontoppidan, 1763)",2025,1
"Vespertilio murinus Linnaeus, 1758",2025,1
"Vulpes vulpes (Linnaeus, 1758)",2025,93
"Vulpes vulpes crucigera (Bechstein, 1789)",2025,3
"Vulpes vulpes silacea Miller, 1907",2025,2
"Zonotrichia albicollis (J.F.Gmelin, 1789)",2025,1
