"X","STUDY_ID","DAY","MONTH","YEAR","SAMPLE_DESC","PLOT","ID_SPECIES","LATITUDE","LONGITUDE","sum.allrawdata.ABUNDANCE","sum.allrawdata.BIOMASS","GENUS","SPECIES","GENUS_SPECIES","CLASS"
47993,46,NA,NA,1937,"51.416300_-5.172180_1937",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
47998,46,NA,NA,1937,"51.416300_-5.172180_1937",NA,4310,51.698,-5.277,4,0,"Prunella","modularis","Prunella modularis","Aves"
48003,46,NA,NA,1938,"51.416300_-5.172180_1938",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
48004,46,NA,NA,1938,"51.416300_-5.172180_1938",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48009,46,NA,NA,1938,"51.416300_-5.172180_1938",NA,4310,51.698,-5.277,3,0,"Prunella","modularis","Prunella modularis","Aves"
48013,46,NA,NA,1939,"51.416300_-5.172180_1939",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
48014,46,NA,NA,1939,"51.416300_-5.172180_1939",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48016,46,NA,NA,1939,"51.416300_-5.172180_1939",NA,3929,51.698,-5.277,1,0,"Erithacus","rubecula","Erithacus rubecula","Aves"
48020,46,NA,NA,1939,"51.416300_-5.172180_1939",NA,4310,51.698,-5.277,1,0,"Prunella","modularis","Prunella modularis","Aves"
48024,46,NA,NA,1940,"51.416300_-5.172180_1940",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
48025,46,NA,NA,1940,"51.416300_-5.172180_1940",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48027,46,NA,NA,1940,"51.416300_-5.172180_1940",NA,3929,51.698,-5.277,1,0,"Erithacus","rubecula","Erithacus rubecula","Aves"
48032,46,NA,NA,1940,"51.416300_-5.172180_1940",NA,4310,51.698,-5.277,1,0,"Prunella","modularis","Prunella modularis","Aves"
48033,46,NA,NA,1940,"51.416300_-5.172180_1940",NA,4468,51.698,-5.277,1,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48037,46,NA,NA,1946,"51.416300_-5.172180_1946",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
48038,46,NA,NA,1946,"51.416300_-5.172180_1946",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48042,46,NA,NA,1946,"51.416300_-5.172180_1946",NA,4468,51.698,-5.277,2,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48046,46,NA,NA,1947,"51.416300_-5.172180_1947",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48050,46,NA,NA,1947,"51.416300_-5.172180_1947",NA,4468,51.698,-5.277,1,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48054,46,NA,NA,1948,"51.416300_-5.172180_1948",NA,3728,51.698,-5.277,2,0,"Buteo","buteo","Buteo buteo","Aves"
48055,46,NA,NA,1948,"51.416300_-5.172180_1948",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48059,46,NA,NA,1948,"51.416300_-5.172180_1948",NA,4468,51.698,-5.277,6,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48063,46,NA,NA,1949,"51.416300_-5.172180_1949",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
48064,46,NA,NA,1949,"51.416300_-5.172180_1949",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48068,46,NA,NA,1949,"51.416300_-5.172180_1949",NA,4468,51.698,-5.277,11,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48072,46,NA,NA,1950,"51.416300_-5.172180_1950",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48076,46,NA,NA,1950,"51.416300_-5.172180_1950",NA,4468,51.698,-5.277,12,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48080,46,NA,NA,1951,"51.416300_-5.172180_1951",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48084,46,NA,NA,1951,"51.416300_-5.172180_1951",NA,4468,51.698,-5.277,8,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48088,46,NA,NA,1952,"51.416300_-5.172180_1952",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48092,46,NA,NA,1952,"51.416300_-5.172180_1952",NA,4468,51.698,-5.277,10,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48097,46,NA,NA,1953,"51.416300_-5.172180_1953",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48101,46,NA,NA,1953,"51.416300_-5.172180_1953",NA,4468,51.698,-5.277,10,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48105,46,NA,NA,1954,"51.416300_-5.172180_1954",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48110,46,NA,NA,1954,"51.416300_-5.172180_1954",NA,4468,51.698,-5.277,10,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48115,46,NA,NA,1955,"51.416300_-5.172180_1955",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48119,46,NA,NA,1955,"51.416300_-5.172180_1955",NA,4468,51.698,-5.277,5,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48123,46,NA,NA,1956,"51.416300_-5.172180_1956",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48127,46,NA,NA,1956,"51.416300_-5.172180_1956",NA,4468,51.698,-5.277,4,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48131,46,NA,NA,1957,"51.416300_-5.172180_1957",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48135,46,NA,NA,1957,"51.416300_-5.172180_1957",NA,4468,51.698,-5.277,4,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48139,46,NA,NA,1958,"51.416300_-5.172180_1958",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48143,46,NA,NA,1958,"51.416300_-5.172180_1958",NA,4468,51.698,-5.277,3,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48147,46,NA,NA,1959,"51.416300_-5.172180_1959",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
48148,46,NA,NA,1959,"51.416300_-5.172180_1959",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48152,46,NA,NA,1959,"51.416300_-5.172180_1959",NA,4468,51.698,-5.277,2,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48156,46,NA,NA,1960,"51.416300_-5.172180_1960",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48161,46,NA,NA,1960,"51.416300_-5.172180_1960",NA,4468,51.698,-5.277,3,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48165,46,NA,NA,1961,"51.416300_-5.172180_1961",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48169,46,NA,NA,1961,"51.416300_-5.172180_1961",NA,4468,51.698,-5.277,4,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48173,46,NA,NA,1962,"51.416300_-5.172180_1962",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48178,46,NA,NA,1962,"51.416300_-5.172180_1962",NA,4468,51.698,-5.277,15,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48182,46,NA,NA,1963,"51.416300_-5.172180_1963",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48187,46,NA,NA,1963,"51.416300_-5.172180_1963",NA,4468,51.698,-5.277,9,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48191,46,NA,NA,1964,"51.416300_-5.172180_1964",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48196,46,NA,NA,1964,"51.416300_-5.172180_1964",NA,4310,51.698,-5.277,2,0,"Prunella","modularis","Prunella modularis","Aves"
48197,46,NA,NA,1964,"51.416300_-5.172180_1964",NA,4468,51.698,-5.277,13,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48202,46,NA,NA,1965,"51.416300_-5.172180_1965",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48209,46,NA,NA,1965,"51.416300_-5.172180_1965",NA,4310,51.698,-5.277,4,0,"Prunella","modularis","Prunella modularis","Aves"
48210,46,NA,NA,1965,"51.416300_-5.172180_1965",NA,4468,51.698,-5.277,18,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48215,46,NA,NA,1966,"51.416300_-5.172180_1966",NA,3848,51.698,-5.277,2,0,"Corvus","corax","Corvus corax","Aves"
48218,46,NA,NA,1966,"51.416300_-5.172180_1966",NA,3858,51.698,-5.277,1,0,"Cuculus","canorus","Cuculus canorus","Aves"
48222,46,NA,NA,1966,"51.416300_-5.172180_1966",NA,4310,51.698,-5.277,4,0,"Prunella","modularis","Prunella modularis","Aves"
48223,46,NA,NA,1966,"51.416300_-5.172180_1966",NA,4468,51.698,-5.277,30,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48227,46,NA,NA,1967,"51.416300_-5.172180_1967",NA,3835,51.698,-5.277,1,0,"Columba","oenas","Columba oenas","Aves"
48228,46,NA,NA,1967,"51.416300_-5.172180_1967",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48235,46,NA,NA,1967,"51.416300_-5.172180_1967",NA,4310,51.698,-5.277,4,0,"Prunella","modularis","Prunella modularis","Aves"
48236,46,NA,NA,1967,"51.416300_-5.172180_1967",NA,4468,51.698,-5.277,35,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48240,46,NA,NA,1968,"51.416300_-5.172180_1968",NA,3835,51.698,-5.277,2,0,"Columba","oenas","Columba oenas","Aves"
48241,46,NA,NA,1968,"51.416300_-5.172180_1968",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48248,46,NA,NA,1968,"51.416300_-5.172180_1968",NA,4310,51.698,-5.277,4,0,"Prunella","modularis","Prunella modularis","Aves"
48249,46,NA,NA,1968,"51.416300_-5.172180_1968",NA,4468,51.698,-5.277,40,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48253,46,NA,NA,1969,"51.416300_-5.172180_1969",NA,3835,51.698,-5.277,10,0,"Columba","oenas","Columba oenas","Aves"
48254,46,NA,NA,1969,"51.416300_-5.172180_1969",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48261,46,NA,NA,1969,"51.416300_-5.172180_1969",NA,4310,51.698,-5.277,4,0,"Prunella","modularis","Prunella modularis","Aves"
48262,46,NA,NA,1969,"51.416300_-5.172180_1969",NA,4468,51.698,-5.277,50,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48266,46,NA,NA,1970,"51.416300_-5.172180_1970",NA,3835,51.698,-5.277,15,0,"Columba","oenas","Columba oenas","Aves"
48267,46,NA,NA,1970,"51.416300_-5.172180_1970",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48275,46,NA,NA,1970,"51.416300_-5.172180_1970",NA,4310,51.698,-5.277,4,0,"Prunella","modularis","Prunella modularis","Aves"
48276,46,NA,NA,1970,"51.416300_-5.172180_1970",NA,4468,51.698,-5.277,53,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48277,46,NA,NA,1970,"51.416300_-5.172180_1970",NA,4519,51.698,-5.277,1,0,"Turdus","merula","Turdus merula","Aves"
48281,46,NA,NA,1971,"51.416300_-5.172180_1971",NA,3835,51.698,-5.277,18,0,"Columba","oenas","Columba oenas","Aves"
48282,46,NA,NA,1971,"51.416300_-5.172180_1971",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48289,46,NA,NA,1971,"51.416300_-5.172180_1971",NA,4310,51.698,-5.277,5,0,"Prunella","modularis","Prunella modularis","Aves"
48290,46,NA,NA,1971,"51.416300_-5.172180_1971",NA,4468,51.698,-5.277,50,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48294,46,NA,NA,1972,"51.416300_-5.172180_1972",NA,3835,51.698,-5.277,27,0,"Columba","oenas","Columba oenas","Aves"
48295,46,NA,NA,1972,"51.416300_-5.172180_1972",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48303,46,NA,NA,1972,"51.416300_-5.172180_1972",NA,4310,51.698,-5.277,5,0,"Prunella","modularis","Prunella modularis","Aves"
48304,46,NA,NA,1972,"51.416300_-5.172180_1972",NA,4468,51.698,-5.277,47,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48308,46,NA,NA,1973,"51.416300_-5.172180_1973",NA,3835,51.698,-5.277,45,0,"Columba","oenas","Columba oenas","Aves"
48309,46,NA,NA,1973,"51.416300_-5.172180_1973",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48316,46,NA,NA,1973,"51.416300_-5.172180_1973",NA,4310,51.698,-5.277,6,0,"Prunella","modularis","Prunella modularis","Aves"
48317,46,NA,NA,1973,"51.416300_-5.172180_1973",NA,4468,51.698,-5.277,43,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48321,46,NA,NA,1974,"51.416300_-5.172180_1974",NA,3835,51.698,-5.277,60,0,"Columba","oenas","Columba oenas","Aves"
48322,46,NA,NA,1974,"51.416300_-5.172180_1974",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48328,46,NA,NA,1974,"51.416300_-5.172180_1974",NA,4310,51.698,-5.277,7,0,"Prunella","modularis","Prunella modularis","Aves"
48329,46,NA,NA,1974,"51.416300_-5.172180_1974",NA,4468,51.698,-5.277,40,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48330,46,NA,NA,1974,"51.416300_-5.172180_1974",NA,4519,51.698,-5.277,1,0,"Turdus","merula","Turdus merula","Aves"
48334,46,NA,NA,1975,"51.416300_-5.172180_1975",NA,3835,51.698,-5.277,62,0,"Columba","oenas","Columba oenas","Aves"
48335,46,NA,NA,1975,"51.416300_-5.172180_1975",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48342,46,NA,NA,1975,"51.416300_-5.172180_1975",NA,4310,51.698,-5.277,6,0,"Prunella","modularis","Prunella modularis","Aves"
48343,46,NA,NA,1975,"51.416300_-5.172180_1975",NA,4468,51.698,-5.277,40,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48344,46,NA,NA,1975,"51.416300_-5.172180_1975",NA,4519,51.698,-5.277,3,0,"Turdus","merula","Turdus merula","Aves"
48348,46,NA,NA,1976,"51.416300_-5.172180_1976",NA,3835,51.698,-5.277,57,0,"Columba","oenas","Columba oenas","Aves"
48349,46,NA,NA,1976,"51.416300_-5.172180_1976",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48355,46,NA,NA,1976,"51.416300_-5.172180_1976",NA,4310,51.698,-5.277,9,0,"Prunella","modularis","Prunella modularis","Aves"
48356,46,NA,NA,1976,"51.416300_-5.172180_1976",NA,4468,51.698,-5.277,40,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48357,46,NA,NA,1976,"51.416300_-5.172180_1976",NA,4519,51.698,-5.277,4,0,"Turdus","merula","Turdus merula","Aves"
48361,46,NA,NA,1977,"51.416300_-5.172180_1977",NA,3835,51.698,-5.277,60,0,"Columba","oenas","Columba oenas","Aves"
48362,46,NA,NA,1977,"51.416300_-5.172180_1977",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48368,46,NA,NA,1977,"51.416300_-5.172180_1977",NA,4310,51.698,-5.277,12,0,"Prunella","modularis","Prunella modularis","Aves"
48369,46,NA,NA,1977,"51.416300_-5.172180_1977",NA,4468,51.698,-5.277,40,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48370,46,NA,NA,1977,"51.416300_-5.172180_1977",NA,4519,51.698,-5.277,6,0,"Turdus","merula","Turdus merula","Aves"
48374,46,NA,NA,1978,"51.416300_-5.172180_1978",NA,3835,51.698,-5.277,60,0,"Columba","oenas","Columba oenas","Aves"
48375,46,NA,NA,1978,"51.416300_-5.172180_1978",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48381,46,NA,NA,1978,"51.416300_-5.172180_1978",NA,4310,51.698,-5.277,9,0,"Prunella","modularis","Prunella modularis","Aves"
48382,46,NA,NA,1978,"51.416300_-5.172180_1978",NA,4468,51.698,-5.277,40,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48383,46,NA,NA,1978,"51.416300_-5.172180_1978",NA,4519,51.698,-5.277,4,0,"Turdus","merula","Turdus merula","Aves"
48387,46,NA,NA,1979,"51.416300_-5.172180_1979",NA,3835,51.698,-5.277,60,0,"Columba","oenas","Columba oenas","Aves"
48388,46,NA,NA,1979,"51.416300_-5.172180_1979",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
48395,46,NA,NA,1979,"51.416300_-5.172180_1979",NA,4310,51.698,-5.277,3,0,"Prunella","modularis","Prunella modularis","Aves"
48396,46,NA,NA,1979,"51.416300_-5.172180_1979",NA,4468,51.698,-5.277,40,0,"Sturnus","vulgaris","Sturnus vulgaris","Aves"
48397,46,NA,NA,1979,"51.416300_-5.172180_1979",NA,4519,51.698,-5.277,3,0,"Turdus","merula","Turdus merula","Aves"
48790,51,NA,NA,1964,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,7,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48794,51,NA,NA,1965,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,9,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48798,51,NA,NA,1966,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,10.5,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48802,51,NA,NA,1967,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,11,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48806,51,NA,NA,1968,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,9,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48810,51,NA,NA,1969,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,8,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48814,51,NA,NA,1970,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,7.5,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48818,51,NA,NA,1971,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,8,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48822,51,NA,NA,1972,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,8.5,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48826,51,NA,NA,1973,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,10.5,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48830,51,NA,NA,1974,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,8,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48834,51,NA,NA,1975,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,7,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48838,51,NA,NA,1976,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,5,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
48842,51,NA,NA,1977,"61.924100_25.748200_Finland",NA,3714,61.9241,25.7482,4.5,0,"Bonasa","bonasia","Bonasa bonasia","Aves"
6825960,339,NA,NA,1962,"55.71667_13.33333_1962","",3929,55.71667,13.33333,8,0,"Erithacus","rubecula","Erithacus rubecula","Aves"
6825961,339,NA,NA,1962,"55.71667_13.33333_1962","",4125,55.71667,13.33333,1,0,"Muscicapa","striata","Muscicapa striata","Aves"
6825963,339,NA,NA,1953,"55.71667_13.33333_1953","",3929,55.71667,13.33333,6,0,"Erithacus","rubecula","Erithacus rubecula","Aves"
6825964,339,NA,NA,1953,"55.71667_13.33333_1953","",4125,55.71667,13.33333,1,0,"Muscicapa","striata","Muscicapa striata","Aves"
6825966,339,NA,NA,1953,"55.71667_13.33333_1953","",4190,55.71667,13.33333,2,0,"Parus","major","Parus major","Aves"
6825967,339,NA,NA,1953,"55.71667_13.33333_1953","",4255,55.71667,13.33333,23,0,"Phylloscopus","trochilus","Phylloscopus trochilus","Aves"
6825968,339,NA,NA,1953,"55.71667_13.33333_1953","",4310,55.71667,13.33333,3,0,"Prunella","modularis","Prunella modularis","Aves"
6825969,339,NA,NA,1953,"55.71667_13.33333_1953","",4476,55.71667,13.33333,9,0,"Sylvia","atricapilla","Sylvia atricapilla","Aves"
6825970,339,NA,NA,1953,"55.71667_13.33333_1953","",4477,55.71667,13.33333,16,0,"Sylvia","borin","Sylvia borin","Aves"
6825973,339,NA,NA,1953,"55.71667_13.33333_1953","",4517,55.71667,13.33333,1,0,"Troglodytes","troglodytes","Troglodytes troglodytes","Aves"
6825974,339,NA,NA,1953,"55.71667_13.33333_1953","",4519,55.71667,13.33333,7,0,"Turdus","merula","Turdus merula","Aves"
6825975,339,NA,NA,1953,"55.71667_13.33333_1953","",45223,55.71667,13.33333,5,0,"Anthus","trivialis","Anthus trivialis","Aves"
6825978,339,NA,NA,1953,"55.71667_13.33333_1953","",45507,55.71667,13.33333,2,0,"Ficedula","hypoleuca","Ficedula hypoleuca","Aves"
6825979,339,NA,NA,1953,"55.71667_13.33333_1953","",45531,55.71667,13.33333,17,0,"Fringilla","coelebs","Fringilla coelebs","Aves"
6825980,339,NA,NA,1953,"55.71667_13.33333_1953","",45591,55.71667,13.33333,3,0,"Hippolais","icterina","Hippolais icterina","Aves"
6825981,339,NA,NA,1953,"55.71667_13.33333_1953","",45639,55.71667,13.33333,9,0,"Luscinia","luscinia","Luscinia luscinia","Aves"
6825983,339,NA,NA,1954,"55.71667_13.33333_1954","",3929,55.71667,13.33333,2,0,"Erithacus","rubecula","Erithacus rubecula","Aves"
6825984,339,NA,NA,1954,"55.71667_13.33333_1954","",4125,55.71667,13.33333,1,0,"Muscicapa","striata","Muscicapa striata","Aves"
6825986,339,NA,NA,1954,"55.71667_13.33333_1954","",4190,55.71667,13.33333,2,0,"Parus","major","Parus major","Aves"
