"species","forest_sp","agriculture_sp","generalist_sp"
"Lymnocryptes minimus",0,0,1
"Lynx lynx",1,0,0
"Lynx pardinus",1,0,0
"Lyrurus tetrix",0,0,1
"Mareca penelope",0,0,1
"Mareca strepera",0,0,1
"Marmaronetta angustirostris",0,1,0
"Marmota marmota",0,1,0
"Martes foina",0,0,1
"Martes martes",1,0,0
"Martes zibellina",1,0,0
"Melanitta fusca",1,0,0
"Melanitta nigra",0,0,1
"Melanocorypha calandra",0,1,0
"Meleagris gallopavo",0,0,1
"Meles meles",0,0,1
"Mergellus albellus",1,0,0
"Mergus merganser",1,0,0
"Mergus serrator",1,0,0
"Merops apiaster",0,0,1
"Mesocricetus newtoni",0,1,0
"Microcarbo pygmaeus",1,0,0
"Micromys minutus",0,0,1
"Microtus agrestis",0,0,1
"Microtus arvalis",0,0,1
"Microtus brachycercus",0,0,1
"Microtus cabrerae",0,0,1
"Microtus duodecimcostatus",0,0,1
"Microtus gerbii",0,0,1
"Microtus guentheri",0,1,0
"Microtus liechtensteini",0,0,1
"Microtus lusitanicus",0,0,1
"Microtus multiplex",0,0,1
"Microtus mystacinus",0,0,1
"Microtus savii",0,0,1
"Microtus subterraneus",0,0,1
"Microtus tatricus",1,0,0
"Microtus thomasi",0,1,0
"Milvus migrans",1,0,0
"Milvus milvus",0,0,1
"Miniopterus schreibersii",0,0,1
"Monticola saxatilis",0,0,1
"Monticola solitarius",0,0,1
"Montifringilla nivalis",0,0,1
"Morus bassanus",0,0,1
"Motacilla alba",0,1,0
"Motacilla cinerea",0,1,0
"Motacilla citreola",0,1,0
"Motacilla flava",0,0,1
"Mus macedonicus",0,0,1
"Mus musculus",0,1,0
"Mus spicilegus",0,1,0
"Mus spretus",0,0,1
"Muscardinus avellanarius",1,0,0
"Muscicapa striata",0,0,1
"Mustela erminea",0,0,1
"Mustela eversmanii",0,1,0
"Mustela lutreola",0,0,1
"Mustela nivalis",0,0,1
"Mustela putorius",0,0,1
"Myiopsitta monachus",0,0,1
"Myomimus roachi",1,0,0
"Myopus schisticolor",1,0,0
"Myotis alcathoe",1,0,0
"Myotis bechsteinii",1,0,0
"Myotis blythii",0,0,1
"Myotis brandtii",1,0,0
"Myotis capaccinii",0,0,1
"Myotis dasycneme",1,0,0
"Myotis daubentonii",1,0,0
"Myotis davidii",0,0,1
"Myotis emarginatus",0,0,1
"Myotis myotis",0,0,1
"Myotis mystacinus",1,0,0
"Myotis nattereri",0,0,1
"Nannospalax leucodon",0,1,0
"Neomys anomalus",0,1,0
"Neomys fodiens",0,0,1
"Neophron percnopterus",0,1,0
"Netta rufina",0,0,1
"Nothocricetulus migratorius",0,1,0
"Nucifraga caryocatactes",1,0,0
"Numenius arquata",0,1,0
"Numenius phaeopus",0,0,1
"Numida meleagris",0,0,1
"Nyctalus lasiopterus",1,0,0
"Nyctalus leisleri",0,0,1
"Nyctalus noctula",0,0,1
"Nycticorax nycticorax",0,0,1
"Oenanthe hispanica",0,1,0
"Oenanthe isabellina",0,0,1
"Oenanthe leucura",1,0,0
"Oenanthe oenanthe",0,1,0
"Oenanthe pleschanka",0,0,1
"Oriolus oriolus",1,0,0
"Oryctolagus cuniculus",0,0,1
"Otis tarda",0,0,1
"Otus scops",0,0,1
"Oxyura jamaicensis",0,0,1
"Oxyura leucocephala",0,0,1
"Palaeornis eupatria",1,0,0
"Pandion haliaetus",0,0,1
"Panurus biarmicus",0,0,1
"Parabuteo unicinctus",1,0,0
"Parus major",0,0,1
"Passer domesticus",0,0,1
"Passer hispaniolensis",0,0,1
"Passer italiae",0,0,1
"Passer montanus",0,0,1
"Pastor roseus",1,0,0
"Pavo cristatus",0,0,1
"Pelecanus crispus",0,0,1
"Pelecanus onocrotalus",0,0,1
"Perdix perdix",0,1,0
"Periparus ater",1,0,0
"Perisoreus infaustus",1,0,0
"Pernis apivorus",0,0,1
"Petronia petronia",0,0,1
"Phalacrocorax carbo",0,0,1
"Phalaropus fulicarius",0,0,1
"Phalaropus lobatus",0,0,1
"Phasianus colchicus",0,0,1
"Phoeniconaias minor",0,0,1
"Phoenicopterus chilensis",0,0,1
"Phoenicopterus roseus",0,0,1
"Phoenicopterus ruber",0,0,1
"Phoenicurus ochruros",0,0,1
"Phoenicurus phoenicurus",0,0,1
"Phylloscopus bonelli",1,0,0
"Phylloscopus borealis",0,0,1
"Phylloscopus collybita",1,0,0
"Phylloscopus ibericus",1,0,0
"Phylloscopus orientalis",1,0,0
"Phylloscopus sibilatrix",1,0,0
"Phylloscopus trochiloides",0,0,1
"Phylloscopus trochilus",0,0,1
"Pica pica",0,0,1
"Picoides tridactylus",1,0,0
"Picus canus",1,0,0
"Picus sharpei",0,0,1
"Picus viridis",0,0,1
"Pinicola enucleator",0,0,1
"Pionus maximiliani",1,0,0
"Pipistrellus kuhlii",0,0,1
"Pipistrellus nathusii",1,0,0
"Pipistrellus pipistrellus",0,0,1
"Pipistrellus pygmaeus",1,0,0
"Platalea leucorodia",1,0,0
"Plecotus auritus",1,0,0
"Plecotus austriacus",0,0,1
"Plecotus kolombatovici",0,0,1
"Plecotus macrobullaris",0,0,1
"Plectrophenax nivalis",0,1,0
"Plegadis falcinellus",0,1,0
"Ploceus melanocephalus",0,0,1
"Pluvialis apricaria",0,1,0
"Podiceps auritus",0,0,1
"Podiceps cristatus",0,0,1
"Podiceps grisegena",0,0,1
"Podiceps nigricollis",0,0,1
"Poecile cinctus",1,0,0
"Poecile lugubris",0,0,1
"Poecile montanus",1,0,0
"Poecile palustris",1,0,0
"Poicephalus senegalus",0,0,1
"Porphyrio porphyrio",0,0,1
"Porzana porzana",0,1,0
"Prunella collaris",0,1,0
"Prunella modularis",0,0,1
"Psittacara acuticaudatus",1,0,0
"Psittacara erythrogenys",0,0,1
"Psittacara mitratus",1,0,0
"Pterocles alchata",0,1,0
"Pterocles orientalis",0,1,0
"Pteromys volans",1,0,0
"Ptyonoprogne rupestris",0,1,0
"Puffinus mauretanicus",0,0,1
"Puffinus puffinus",0,0,1
"Puffinus yelkouan",0,0,1
"Pycnonotus barbatus",0,0,1
"Pycnonotus jocosus",0,0,1
"Pyrrhocorax graculus",0,1,0
"Pyrrhocorax pyrrhocorax",0,1,0
"Pyrrhula pyrrhula",0,0,1
"Rallus aquaticus",0,0,1
"Rangifer tarandus",1,0,0
"Rattus rattus",0,1,0
"Recurvirostra avosetta",0,0,1
"Regulus ignicapilla",1,0,0
"Regulus regulus",1,0,0
"Remiz pendulinus",1,0,0
"Rhea americana",0,1,0
"Rhinolophus blasii",0,0,1
"Rhinolophus euryale",1,0,0
"Rhinolophus ferrumequinum",0,0,1
"Rhinolophus hipposideros",1,0,0
"Rhinolophus mehelyi",1,0,0
"Riparia riparia",0,0,1
"Rissa tridactyla",0,0,1
"Rupicapra pyrenaica",1,0,0
"Rupicapra rupicapra",0,0,1
"Saxicola rubetra",0,0,1
"Saxicola torquatus",0,0,1
"Sciurus anomalus",1,0,0
"Sciurus vulgaris",1,0,0
"Scolopax rusticola",1,0,0
"Serinus serinus",0,0,1
"Sicista betulina",1,0,0
"Sicista subtilis",0,1,0
"Sitta europaea",1,0,0
"Sitta neumayer",0,0,1
"Somateria mollissima",0,0,1
"Somateria spectabilis",0,0,1
"Sorex alpinus",0,0,1
"Sorex antinorii",1,0,0
"Sorex araneus",0,0,1
"Sorex caecutiens",1,0,0
"Sorex coronatus",0,0,1
"Sorex granarius",0,0,1
"Sorex isodon",1,0,0
"Sorex minutissimus",1,0,0
"Sorex minutus",0,0,1
"Sorex samniticus",1,0,0
"Spalax graecus",0,0,1
"Spalax zemni",0,0,1
"Spatula clypeata",0,1,0
"Spatula cyanoptera",0,0,1
"Spatula discors",0,0,1
"Spatula querquedula",0,0,1
"Spermophilus citellus",0,1,0
"Spermophilus suslicus",0,1,0
"Spilopelia senegalensis",0,1,0
"Spinus spinus",1,0,0
"Stenocranius gregalis",0,1,0
"Stercorarius longicaudus",0,0,1
"Stercorarius parasiticus",0,0,1
"Stercorarius pomarinus",0,0,1
"Sterna dougallii",0,0,1
"Sterna hirundo",0,0,1
"Sterna paradisaea",0,0,1
"Sternula albifrons",0,0,1
"Streptopelia decaocto",0,0,1
"Streptopelia roseogrisea",0,1,0
"Streptopelia turtur",0,0,1
"Strix aluco",0,0,1
"Strix nebulosa",0,0,1
"Strix uralensis",0,0,1
"Sturnus unicolor",0,1,0
"Sturnus vulgaris",0,0,1
"Suncus etruscus",0,0,1
"Surnia ulula",0,0,1
"Sus scrofa",0,0,1
"Suthora alphonsiana",1,0,0
"Suthora webbiana",1,0,0
"Sylvia atricapilla",0,0,1
"Sylvia borin",1,0,0
"Syrmaticus reevesii",0,0,1
"Tachybaptus ruficollis",0,0,1
"Tachymarptis melba",1,0,0
"Tadarida teniotis",0,0,1
"Tadorna ferruginea",0,1,0
"Tadorna tadorna",0,0,1
"Taeniopygia castanotis",0,0,1
"Talpa caeca",0,0,1
"Talpa europaea",0,0,1
"Talpa occidentalis",0,0,1
"Talpa romana",0,0,1
"Talpa stankovici",0,1,0
"Tarsiger cyanurus",1,0,0
"Tetrao urogallus",1,0,0
"Tetrastes bonasia",1,0,0
"Tetrax tetrax",0,1,0
"Thalasseus bengalensis",0,0,1
"Thalasseus elegans",0,0,1
"Thalasseus sandvicensis",0,0,1
"Threskiornis aethiopicus",0,0,1
"Tichodroma muraria",0,0,1
"Tringa erythropus",0,0,1
"Tringa glareola",1,0,0
"Tringa nebularia",0,1,0
"Tringa ochropus",0,0,1
"Tringa stagnatilis",0,0,1
"Tringa totanus",0,1,0
"Troglodytes troglodytes",1,0,0
"Turdus iliacus",0,0,1
"Turdus merula",0,0,1
"Turdus philomelos",0,0,1
"Turdus pilaris",0,0,1
"Turdus torquatus",1,0,0
"Turdus viscivorus",0,0,1
"Tyto alba",0,0,1
"Upupa epops",0,0,1
"Uria aalge",0,0,1
"Uria lomvia",0,0,1
"Ursus arctos",0,0,1
"Ursus maritimus",0,0,1
"Vanellus spinosus",0,1,0
"Vanellus vanellus",0,1,0
"Vespertilio murinus",0,0,1
"Vidua macroura",0,1,0
"Vormela peregusna",0,0,1
"Vulpes corsac",0,0,1
"Vulpes lagopus",0,0,1
"Vulpes vulpes",0,0,1
"Xenus cinereus",1,0,0
"Zapornia parva",0,0,1
"Zapornia pusilla",0,1,0
